trial,chromosome,n_val,spearman_rho,best_n_estimators,pruned
10,8,32904,0.15139847402793769,59,false
10,9,29048,0.16279413195975564,57,false
10,X,11156,0.16283681559024432,77,false
10,Y,1000,0.17546695607418364,81,false
10,10,31808,0.1703369970190189,89,false
10,11,36908,0.1597756476463985,65,false
10,12,39700,0.1683868039915838,139,false
10,13,22392,0.16352428435556973,146,false
10,14,25976,0.16033598952204794,110,false
10,15,27880,0.1548698458508287,66,false
10,16,27972,0.15351934608098555,56,false
10,17,35444,0.15846689434133995,88,false
10,18,18180,0.15730661220081776,44,false
10,19,33552,0.1397334034033737,236,false
10,20,21792,0.1576949237787423,54,false
10,21,11324,0.16602865723456264,46,false
10,22,16664,0.1567544350547439,76,false
11,2,62104,0.16970937979516434,546,false
11,3,43116,0.16171108362374131,748,false
11,4,41448,0.1813973832037161,448,false
11,5,41200,0.16556423988043154,676,false
11,6,45488,0.16701233785357236,839,false
11,7,36816,0.1833923027262685,614,false
11,8,32904,0.1596449299990358,735,false
11,9,29048,0.16701879992680596,346,false
11,X,11156,0.16161775622067476,1337,false
11,Y,1000,0.18394922475636497,711,false
11,10,31808,0.17182781410539621,706,false
11,11,36908,0.16220284294599333,729,false
11,12,39700,0.17444677438283585,982,false
11,13,22392,0.16252825399342838,642,false
11,14,25976,0.1660343169492594,1000,false
11,15,27880,0.1621041239361389,711,false
11,16,27972,0.16449164937490926,745,false
11,17,35444,0.1689930249193483,795,false
11,18,18180,0.162187979625047,414,false
11,19,33552,0.14687809186922474,771,false
11,20,21792,0.1586102828886054,570,false
11,21,11324,0.17777528790649222,720,false
11,22,16664,0.16659059921286207,699,false
12,2,62104,0.16707841275750454,186,false
12,3,43116,0.1620868324678742,309,false
12,4,41448,0.1824744152152688,171,false
12,5,41200,0.16548172536793612,270,false
12,6,45488,0.16851543235003857,455,false
12,7,36816,0.1844517899684499,288,false
12,8,32904,0.15523486496557234,357,false
12,9,29048,0.16666930413453052,138,false
12,X,11156,0.1593537637167642,476,false
12,Y,1000,0.18341912271388178,282,false
12,10,31808,0.17039021454368683,379,false
12,11,36908,0.16435439552081835,288,false
12,12,39700,0.17554942079070507,386,false
12,13,22392,0.16755675452181704,434,false
12,14,25976,0.16344193328417858,286,false
12,15,27880,0.16238775205145958,268,false
12,16,27972,0.16296981991764684,293,false
12,17,35444,0.1658983005838002,265,false
12,18,18180,0.16573687793967412,233,false
12,19,33552,0.144274086509979,353,false
12,20,21792,0.15900639804408576,169,false
12,21,11324,0.1759609804974416,209,false
12,22,16664,0.1670726213630397,282,false
13,2,62104,0.16635257717552984,210,false
13,3,43116,0.16390818663028456,374,false
13,4,41448,0.18371721156013052,264,false
13,5,41200,0.1632893518435864,341,false
13,6,45488,0.16916719188421225,409,false
13,7,36816,0.18301867407001088,221,false
13,8,32904,0.15533377455927153,405,false
13,9,29048,0.1656002838561115,148,false
13,X,11156,0.1710406634851756,283,false
13,Y,1000,0.18962074660873873,366,false
13,10,31808,0.1709978229697649,484,false
13,11,36908,0.164630569453138,341,false
13,12,39700,0.1760109572893337,373,false
13,13,22392,0.16926124466118175,499,false
13,14,25976,0.16223828659777123,480,false
13,15,27880,0.16203562314107472,464,false
13,16,27972,0.163000190309247,360,false
13,17,35444,0.16652102140691072,362,false
13,18,18180,0.16526840776444643,325,false
13,19,33552,0.14707347460338957,463,false
13,20,21792,0.1599390763104004,218,false
13,21,11324,0.17841302753844573,310,false
13,22,16664,0.1672355063827448,414,false
14,2,62104,0.17333817796016596,110,false
14,3,43116,0.16417449941055942,109,false
14,4,41448,0.18534398983578568,106,false
14,5,41200,0.1649767664805065,117,false
14,6,45488,0.16783870905722711,179,false
14,7,36816,0.18409085814539278,93,false
14,8,32904,0.1622646280194353,120,false
14,9,29048,0.17032752957310623,111,false
14,X,11156,0.15573370451809215,78,false
14,Y,1000,0.18696297636834994,124,false
14,10,31808,0.17368162833018205,129,false
14,11,36908,0.16936344211665919,124,false
14,12,39700,0.17636328908200144,146,false
14,13,22392,0.16749304259350123,136,false
14,14,25976,0.16626780599760208,154,false
14,15,27880,0.16509190165165005,131,false
14,16,27972,0.16385423194299467,115,false
14,17,35444,0.17002361869831334,129,false
14,18,18180,0.16689144704726872,99,false
14,19,33552,0.1471800039039265,272,false
14,20,21792,0.15569244686083009,81,false
14,21,11324,0.17313193564457882,133,false
14,22,16664,0.16788128223321525,111,false
15,2,62104,0.17009270833442683,748,false
15,3,43116,0.16065370556760297,759,false
15,4,41448,0.18333960678385924,531,false
15,5,41200,0.16808049551822873,741,false
15,6,45488,0.1723548679702847,1106,false
15,7,36816,0.1855483704602582,745,false
15,8,32904,0.15430338045472092,881,false
15,9,29048,0.16615154374497756,340,false
15,X,11156,0.16577030995754133,1079,false
15,Y,1000,0.18278524427154813,873,false
15,10,31808,0.17591027661119163,802,false
15,11,36908,0.1654871246328297,877,false
15,12,39700,0.17839899338671183,1178,false
15,13,22392,0.16903236178131398,1057,false
15,14,25976,0.16590775965368262,1108,false
15,15,27880,0.1644713631156814,942,false
15,16,27972,0.1654010714611304,901,false
15,17,35444,0.16902480767253228,913,false
15,18,18180,0.16515758603428787,494,false
15,19,33552,0.149526267701782,1716,false
15,20,21792,0.16301303917205626,517,false
15,21,11324,0.1784004268625974,830,false
15,22,16664,0.16607056827157007,824,false
16,2,62104,0.16391352079851815,146,true
16,3,43116,0.15847970977287132,128,true
16,4,41448,0.17979500972444112,162,true
16,5,41200,0.16215034256127156,136,true
16,6,45488,0.16735881078175735,224,true
16,7,36816,0.17639235792592262,140,true
