feature_set,model,holdout,seed,n_features,auroc,auprc
no_kmer,gaussian_nb,MDA-MB-231,0,42,0.5185,0.0296
no_kmer,mlp,HAP1,0,42,0.7127,0.1507
no_kmer,mlp,HAP1,1,42,0.7294,0.156
no_kmer,mlp,HAP1,2,42,0.6395,0.0726
no_kmer,mlp,K562,0,42,0.5889,0.1009
no_kmer,mlp,K562,1,42,0.6826,0.1494
no_kmer,mlp,K562,2,42,0.6861,0.1549
no_kmer,mlp,MDA-MB-231,0,42,0.7151,0.0757
no_kmer,mlp,MDA-MB-231,1,42,0.7173,0.0772
no_kmer,mlp,MDA-MB-231,2,42,0.6031,0.0418
no_kmer,qda,HAP1,0,42,0.6667,0.1408
no_kmer,qda,K562,0,42,0.6681,0.1354
no_kmer,qda,MDA-MB-231,0,42,0.6859,0.1498
