part,source,target,weight,seed,auprc,auroc
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,0,0.1835,0.7346
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,1,0.1802,0.7307
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,2,0.1806,0.7218
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,3,0.1866,0.7308
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,4,0.1829,0.7286
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,5,0.176,0.7277
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,6,0.1764,0.7223
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,7,0.1839,0.731
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,8,0.1782,0.7282
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,9,0.1852,0.7238
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,10,0.1797,0.7284
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,11,0.1858,0.7295
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,12,0.1822,0.7286
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,13,0.1781,0.7279
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,14,0.1797,0.7353
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,15,0.1781,0.7318
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,16,0.1823,0.7297
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,17,0.1827,0.7268
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,18,0.1854,0.7351
loco_weight,K562+MDA-MB-231,HAP1,control posrate x2,19,0.1774,0.7313
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,0,0.1827,0.7263
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,1,0.1826,0.7294
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,2,0.1852,0.7224
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,3,0.1871,0.7308
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,4,0.1827,0.7272
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,5,0.1894,0.7275
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,6,0.1794,0.7263
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,7,0.1845,0.7361
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,8,0.1825,0.7236
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,9,0.1875,0.7283
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,10,0.1861,0.724
loco_weight,K562+MDA-MB-231,HAP1,upweight MDA-MB-231 x3,11,0.1789,0.7217
