holdout,config,seed,n_features,auroc,auprc
HAP1,+ all neighbour + tissues,4,57,0.7136,0.1641
HAP1,+ all neighbour + tissues,5,57,0.7217,0.1652
HAP1,+ all neighbour + tissues,6,57,0.7205,0.1669
HAP1,+ all neighbour + tissues,7,57,0.7208,0.1748
HAP1,+ all neighbour + tissues,8,57,0.7167,0.1638
HAP1,+ all neighbour + tissues,9,57,0.7122,0.1574
HAP1,+ all neighbour + tissues,10,57,0.7218,0.1658
HAP1,+ all neighbour + tissues,11,57,0.712,0.1508
HAP1,+ all neighbour + tissues,12,57,0.7185,0.1622
HAP1,+ all neighbour + tissues,13,57,0.7134,0.1621
HAP1,+ all neighbour + tissues,14,57,0.7096,0.1548
HAP1,+ all neighbour + tissues,15,57,0.7206,0.1634
HAP1,+ all neighbour + tissues,16,57,0.7142,0.1552
HAP1,+ all neighbour + tissues,17,57,0.7179,0.1642
HAP1,+ all neighbour + tissues,18,57,0.7134,0.1646
HAP1,+ all neighbour + tissues,19,57,0.7165,0.1621
K562,base (no neighbour),0,34,0.7157,0.1753
K562,base (no neighbour),1,34,0.7149,0.1713
K562,base (no neighbour),2,34,0.7213,0.1826
K562,base (no neighbour),3,34,0.7233,0.1784
K562,base (no neighbour),4,34,0.7215,0.1797
K562,base (no neighbour),5,34,0.7204,0.1809
K562,base (no neighbour),6,34,0.7166,0.1752
K562,base (no neighbour),7,34,0.7202,0.1769
K562,base (no neighbour),8,34,0.7169,0.1748
K562,base (no neighbour),9,34,0.7249,0.1777
K562,base (no neighbour),10,34,0.7129,0.174
K562,base (no neighbour),11,34,0.717,0.1747
K562,base (no neighbour),12,34,0.7186,0.1746
K562,base (no neighbour),13,34,0.7129,0.172
K562,base (no neighbour),14,34,0.7186,0.1793
K562,base (no neighbour),15,34,0.717,0.1759
K562,base (no neighbour),16,34,0.7199,0.1749
K562,base (no neighbour),17,34,0.7123,0.1748
K562,base (no neighbour),18,34,0.7179,0.174
K562,base (no neighbour),19,34,0.7183,0.1748
K562,+ nb_dist,0,36,0.7137,0.1766
K562,+ nb_dist,1,36,0.7126,0.1771
K562,+ nb_dist,2,36,0.7197,0.1805
K562,+ nb_dist,3,36,0.7203,0.1773
K562,+ nb_dist,4,36,0.7204,0.1776
K562,+ nb_dist,5,36,0.7163,0.1783
K562,+ nb_dist,6,36,0.7125,0.1751
K562,+ nb_dist,7,36,0.7166,0.1761
K562,+ nb_dist,8,36,0.7155,0.1741
K562,+ nb_dist,9,36,0.7204,0.1825
K562,+ nb_dist,10,36,0.7124,0.1732
K562,+ nb_dist,11,36,0.7198,0.1787
K562,+ nb_dist,12,36,0.7158,0.1771
K562,+ nb_dist,13,36,0.718,0.1757
K562,+ nb_dist,14,36,0.714,0.1759
K562,+ nb_dist,15,36,0.7158,0.1781
K562,+ nb_dist,16,36,0.7173,0.1767
K562,+ nb_dist,17,36,0.7135,0.1741
K562,+ nb_dist,18,36,0.7155,0.1738
K562,+ nb_dist,19,36,0.7127,0.1737
K562,+ nb_class,0,41,0.7056,0.1737
K562,+ nb_class,1,41,0.7131,0.176
K562,+ nb_class,2,41,0.7118,0.1726
K562,+ nb_class,3,41,0.7176,0.1752
K562,+ nb_class,4,41,0.712,0.1752
K562,+ nb_class,5,41,0.7142,0.1749
K562,+ nb_class,6,41,0.7085,0.1707
K562,+ nb_class,7,41,0.719,0.1772
K562,+ nb_class,8,41,0.7167,0.1777
K562,+ nb_class,9,41,0.7163,0.175
K562,+ nb_class,10,41,0.7184,0.1758
K562,+ nb_class,11,41,0.714,0.1759
K562,+ nb_class,12,41,0.7068,0.1659
K562,+ nb_class,13,41,0.7031,0.1671
K562,+ nb_class,14,41,0.713,0.1729
K562,+ nb_class,15,41,0.7229,0.1793
K562,+ nb_class,16,41,0.7174,0.1741
K562,+ nb_class,17,41,0.7153,0.175
K562,+ nb_class,18,41,0.7178,0.1739
K562,+ nb_class,19,41,0.7226,0.1757
K562,+ nb_depmap,0,36,0.7132,0.1762
K562,+ nb_depmap,1,36,0.7129,0.1731
K562,+ nb_depmap,2,36,0.7157,0.1778
K562,+ nb_depmap,3,36,0.7177,0.1783
K562,+ nb_depmap,4,36,0.7117,0.1754
K562,+ nb_depmap,5,36,0.7124,0.1773
K562,+ nb_depmap,6,36,0.714,0.175
K562,+ nb_depmap,7,36,0.7154,0.1748
K562,+ nb_depmap,8,36,0.7161,0.1727
K562,+ nb_depmap,9,36,0.7155,0.1726
K562,+ nb_depmap,10,36,0.709,0.1713
K562,+ nb_depmap,11,36,0.7123,0.1734
K562,+ nb_depmap,12,36,0.7173,0.1778
K562,+ nb_depmap,13,36,0.7123,0.1729
K562,+ nb_depmap,14,36,0.7139,0.1788
K562,+ nb_depmap,15,36,0.7145,0.177
K562,+ nb_depmap,16,36,0.7209,0.1777
K562,+ nb_depmap,17,36,0.7147,0.1784
K562,+ nb_depmap,18,36,0.712,0.1747
K562,+ nb_depmap,19,36,0.7158,0.175
K562,+ nb_expr,0,39,0.7082,0.1722
K562,+ nb_expr,1,39,0.7117,0.1711
K562,+ nb_expr,2,39,0.7167,0.177
K562,+ nb_expr,3,39,0.7171,0.1744
K562,+ nb_expr,4,39,0.7124,0.1758
K562,+ nb_expr,5,39,0.7178,0.1761
K562,+ nb_expr,6,39,0.71,0.1726
K562,+ nb_expr,7,39,0.7126,0.1742
K562,+ nb_expr,8,39,0.7165,0.1726
K562,+ nb_expr,9,39,0.7132,0.1747
K562,+ nb_expr,10,39,0.7077,0.1737
K562,+ nb_expr,11,39,0.7166,0.1742
K562,+ nb_expr,12,39,0.7115,0.171
K562,+ nb_expr,13,39,0.7118,0.1726
K562,+ nb_expr,14,39,0.7145,0.1736
K562,+ nb_expr,15,39,0.7165,0.1715
K562,+ nb_expr,16,39,0.7143,0.1732
K562,+ nb_expr,17,39,0.7153,0.1747
K562,+ nb_expr,18,39,0.7134,0.1737
K562,+ nb_expr,19,39,0.7121,0.1715
K562,+ all neighbour,0,50,0.7095,0.1733
K562,+ all neighbour,1,50,0.708,0.1715
K562,+ all neighbour,2,50,0.7114,0.1715
K562,+ all neighbour,3,50,0.7113,0.171
K562,+ all neighbour,4,50,0.7146,0.1748
K562,+ all neighbour,5,50,0.7129,0.1749
K562,+ all neighbour,6,50,0.7084,0.1714
K562,+ all neighbour,7,50,0.7025,0.1647
K562,+ all neighbour,8,50,0.7118,0.1672
K562,+ all neighbour,9,50,0.7139,0.1717
K562,+ all neighbour,10,50,0.7091,0.1715
K562,+ all neighbour,11,50,0.7105,0.1677
K562,+ all neighbour,12,50,0.7195,0.1755
K562,+ all neighbour,13,50,0.7094,0.1748
K562,+ all neighbour,14,50,0.7076,0.1711
K562,+ all neighbour,15,50,0.7085,0.1727
K562,+ all neighbour,16,50,0.7086,0.1721
K562,+ all neighbour,17,50,0.704,0.1677
K562,+ all neighbour,18,50,0.71,0.1711
K562,+ all neighbour,19,50,0.7117,0.1728
K562,neighbour only,0,21,0.5554,0.0943
K562,neighbour only,1,21,0.5537,0.0928
K562,neighbour only,2,21,0.5573,0.0971
K562,neighbour only,3,21,0.5431,0.0915
K562,neighbour only,4,21,0.5579,0.0939
K562,neighbour only,5,21,0.5504,0.093
K562,neighbour only,6,21,0.5574,0.0938
K562,neighbour only,7,21,0.5563,0.0925
K562,neighbour only,8,21,0.5522,0.0952
K562,neighbour only,9,21,0.5596,0.0944
K562,neighbour only,10,21,0.5456,0.093
K562,neighbour only,11,21,0.5491,0.0947
K562,neighbour only,12,21,0.5571,0.0938
K562,neighbour only,13,21,0.5591,0.0996
K562,neighbour only,14,21,0.5549,0.0942
K562,neighbour only,15,21,0.5469,0.0944
K562,neighbour only,16,21,0.549,0.0924
K562,neighbour only,17,21,0.5517,0.091
K562,neighbour only,18,21,0.5501,0.0947
K562,neighbour only,19,21,0.5472,0.0927
K562,base + tissues,0,41,0.7107,0.1751
K562,base + tissues,1,41,0.7183,0.1767
K562,base + tissues,2,41,0.7142,0.1732
K562,base + tissues,3,41,0.717,0.1737
K562,base + tissues,4,41,0.7149,0.1736
K562,base + tissues,5,41,0.7163,0.1759
K562,base + tissues,6,41,0.7135,0.1712
K562,base + tissues,7,41,0.7238,0.1807
K562,base + tissues,8,41,0.7218,0.1771
K562,base + tissues,9,41,0.7185,0.1759
K562,base + tissues,10,41,0.7176,0.1763
K562,base + tissues,11,41,0.7164,0.177
K562,base + tissues,12,41,0.7107,0.1696
K562,base + tissues,13,41,0.7123,0.1737
K562,base + tissues,14,41,0.717,0.1751
K562,base + tissues,15,41,0.7181,0.1763
K562,base + tissues,16,41,0.7169,0.1767
K562,base + tissues,17,41,0.7162,0.1771
K562,base + tissues,18,41,0.7181,0.174
K562,base + tissues,19,41,0.7204,0.1764
K562,+ all neighbour + tissues,0,57,0.7008,0.1641
K562,+ all neighbour + tissues,1,57,0.7126,0.1724
K562,+ all neighbour + tissues,2,57,0.7124,0.1749
K562,+ all neighbour + tissues,3,57,0.7155,0.1732
K562,+ all neighbour + tissues,4,57,0.7067,0.1712
K562,+ all neighbour + tissues,5,57,0.709,0.171
K562,+ all neighbour + tissues,6,57,0.7061,0.1688
K562,+ all neighbour + tissues,7,57,0.7124,0.172
K562,+ all neighbour + tissues,8,57,0.7065,0.1694
K562,+ all neighbour + tissues,9,57,0.7124,0.1758
K562,+ all neighbour + tissues,10,57,0.7107,0.1697
K562,+ all neighbour + tissues,11,57,0.7136,0.174
K562,+ all neighbour + tissues,12,57,0.7155,0.1738
K562,+ all neighbour + tissues,13,57,0.7179,0.177
K562,+ all neighbour + tissues,14,57,0.7049,0.1687
K562,+ all neighbour + tissues,15,57,0.7063,0.1727
K562,+ all neighbour + tissues,16,57,0.7109,0.17
K562,+ all neighbour + tissues,17,57,0.7086,0.1681
K562,+ all neighbour + tissues,18,57,0.7141,0.173
K562,+ all neighbour + tissues,19,57,0.7123,0.1738
MDA-MB-231,base (no neighbour),0,34,0.7276,0.1524
MDA-MB-231,base (no neighbour),1,34,0.726,0.1507
MDA-MB-231,base (no neighbour),2,34,0.7167,0.1486
MDA-MB-231,base (no neighbour),3,34,0.7297,0.1502
MDA-MB-231,base (no neighbour),4,34,0.723,0.1466
MDA-MB-231,base (no neighbour),5,34,0.727,0.1495
MDA-MB-231,base (no neighbour),6,34,0.7226,0.1403
MDA-MB-231,base (no neighbour),7,34,0.727,0.1512
MDA-MB-231,base (no neighbour),8,34,0.7196,0.1411
MDA-MB-231,base (no neighbour),9,34,0.726,0.1516
MDA-MB-231,base (no neighbour),10,34,0.7154,0.1457
MDA-MB-231,base (no neighbour),11,34,0.7302,0.1533
MDA-MB-231,base (no neighbour),12,34,0.7216,0.1451
MDA-MB-231,base (no neighbour),13,34,0.7283,0.1457
MDA-MB-231,base (no neighbour),14,34,0.7251,0.1513
