trial,fold,n_val,n_pos_val,auprc,scale_pos_weight,best_n_estimators
20,2,5002,224,0.15941088428020558,1.0,44
21,0,5002,223,0.17603206706350524,1.0,403
21,1,5002,224,0.16532387627388972,1.0,220
21,2,5002,224,0.18194111188605683,1.0,591
21,3,5002,224,0.1462295141272119,1.0,286
21,4,5002,224,0.18507211943747254,1.0,285
22,0,5002,223,0.18231974038370663,1.0,202
22,1,5002,224,0.1622055678573809,1.0,131
22,2,5002,224,0.18028148542354203,1.0,332
22,3,5002,224,0.1359897906977814,1.0,116
22,4,5002,224,0.1789579333916316,1.0,180
23,0,5002,223,0.15744928397055044,1.0,231
23,1,5002,224,0.16750176995283161,1.0,102
23,2,5002,224,0.18122323425393477,1.0,277
23,3,5002,224,0.14025592565096306,1.0,77
23,4,5002,224,0.1770119553973841,1.0,93
24,0,5002,223,0.17707360295116645,1.0,358
24,1,5002,224,0.17103573215173154,1.0,433
24,2,5002,224,0.18204742419777234,1.0,577
24,3,5002,224,0.14750521096069136,1.0,287
24,4,5002,224,0.17355291867909448,1.0,371
25,0,5002,223,0.1707300934950933,1.0,220
25,1,5002,224,0.15855012569071122,1.0,97
25,2,5002,224,0.18547822198793323,1.0,365
25,3,5002,224,0.12130309115251203,1.0,42
25,4,5002,224,0.17976925021686055,1.0,47
26,0,5002,223,0.18474346135715652,1.0,155
26,1,5002,224,0.16941343201224718,1.0,111
26,2,5002,224,0.18190155360778917,1.0,155
26,3,5002,224,0.1398470371872693,1.0,113
26,4,5002,224,0.17321643778383866,1.0,150
27,0,5002,223,0.17707341408274668,1.0,218
27,1,5002,224,0.1770420955261249,1.0,260
27,2,5002,224,0.1747190234816149,1.0,256
27,3,5002,224,0.14187388242360416,1.0,155
27,4,5002,224,0.1801516853679543,1.0,157
28,0,5002,223,0.1775560692008133,1.0,376
28,1,5002,224,0.12981229278308098,1.0,44
28,2,5002,224,0.18070221924124688,1.0,591
28,3,5002,224,0.14016426177047242,1.0,252
28,4,5002,224,0.17688879689686607,1.0,294
29,0,5002,223,0.17972641880327847,1.0,86
29,1,5002,224,0.15801537760489195,1.0,143
29,2,5002,224,0.18108218291389114,1.0,103
29,3,5002,224,0.12670556083789275,1.0,66
29,4,5002,224,0.1636691271235873,1.0,53
30,0,5002,223,0.16881732101089497,1.0,74
30,1,5002,224,0.15752838652915868,1.0,93
30,2,5002,224,0.18447458280378812,1.0,81
30,3,5002,224,0.13578599427542032,1.0,46
30,4,5002,224,0.16381526108498845,1.0,72
31,0,5002,223,0.17606895148782817,1.0,420
31,1,5002,224,0.17703884395852906,1.0,433
31,2,5002,224,0.18384111182495308,1.0,510
31,3,5002,224,0.14578792817631459,1.0,297
31,4,5002,224,0.17137841485628136,1.0,366
32,0,5002,223,0.16954189927332336,1.0,514
32,1,5002,224,0.16666955965032842,1.0,252
32,2,5002,224,0.1532934607359136,1.0,66
32,3,5002,224,0.13596835118642212,1.0,389
32,4,5002,224,0.17054205399961903,1.0,358
33,0,5002,223,0.1743109393348906,1.0,292
33,1,5002,224,0.1648574992505448,1.0,216
33,2,5002,224,0.14171553523333336,1.0,39
33,3,5002,224,0.1361014652751909,1.0,195
33,4,5002,224,0.17882697496815492,1.0,199
34,0,5002,223,0.17856153073591535,1.0,331
34,1,5002,224,0.15262104547070662,1.0,106
34,2,5002,224,0.17781177383699645,1.0,536
34,3,5002,224,0.14405184396055526,1.0,303
34,4,5002,224,0.17298031551887433,1.0,311
35,0,5002,223,0.18128305074799106,1.0,166
35,1,5002,224,0.1605122749442586,1.0,99
35,2,5002,224,0.17750403066069975,1.0,303
35,3,5002,224,0.13616402231985197,1.0,127
35,4,5002,224,0.16784819525494918,1.0,152
36,0,5002,223,0.17334136235347308,1.0,919
36,1,5002,224,0.13757962079535285,1.0,182
36,2,5002,224,0.17594795602050603,1.0,753
36,3,5002,224,0.1421302036420195,1.0,556
36,4,5002,224,0.1761378949486148,1.0,748
37,0,5002,223,0.18122875633168645,1.0,353
37,1,5002,224,0.16731128196612752,1.0,197
37,2,5002,224,0.18600823044612158,1.0,420
37,3,5002,224,0.14808951082663172,1.0,285
37,4,5002,224,0.18089926683069138,1.0,322
38,0,5002,223,0.17479163041861062,1.0,555
38,1,5002,224,0.15884886391985306,1.0,376
38,2,5002,224,0.1624649611048859,1.0,40
38,3,5002,224,0.14303432597582616,1.0,432
38,4,5002,224,0.17829599476247135,1.0,418
39,0,5002,223,0.18299299381309797,1.0,418
39,1,5002,224,0.13827504852438952,1.0,42
39,2,5002,224,0.18386255016530706,1.0,388
39,3,5002,224,0.14547427126510346,1.0,329
39,4,5002,224,0.18304756534301644,1.0,370
40,0,5002,223,0.17592562899891073,1.0,374
40,1,5002,224,0.16226783786529914,1.0,248
40,2,5002,224,0.17393817072255405,1.0,279
40,3,5002,224,0.1385311027384573,1.0,213
40,4,5002,224,0.18284813895314028,1.0,322
41,0,5002,223,0.17915710391984013,1.0,383
41,1,5002,224,0.16606846396353311,1.0,355
41,2,5002,224,0.18065137916491403,1.0,343
41,3,5002,224,0.13999928904719855,1.0,326
41,4,5002,224,0.18036358017774118,1.0,293
42,0,5002,223,0.14470326992204466,1.0,12
42,1,5002,224,0.13900270783193558,1.0,52
42,2,5002,224,0.1844282787517703,1.0,368
43,0,5002,223,0.17572434484983185,1.0,208
43,1,5002,224,0.16000513412227466,1.0,124
43,2,5002,224,0.1808832637186792,1.0,257
43,3,5002,224,0.14559351008495086,1.0,189
43,4,5002,224,0.17506062574098208,1.0,144
44,0,5002,223,0.1632665413521951,1.0,1285
44,1,5002,224,0.13000020051620942,1.0,301
44,2,5002,224,0.13776205076619952,1.0,107
45,0,5002,223,0.16725283269017785,1.0,841
45,1,5002,224,0.16415727562806817,1.0,742
45,2,5002,224,0.17239426156943358,1.0,437
46,0,5002,223,0.1746965791661324,1.0,349
46,1,5002,224,0.14129138194809085,1.0,84
46,2,5002,224,0.18189780417698204,1.0,309
46,3,5002,224,0.1421692996962612,1.0,247
46,4,5002,224,0.16883033378706758,1.0,302
47,0,5002,223,0.18466578502944656,1.0,209
47,1,5002,224,0.1664982589797137,1.0,227
47,2,5002,224,0.16867984259237265,1.0,124
47,3,5002,224,0.14033541366604155,1.0,189
47,4,5002,224,0.1740401956721918,1.0,190
48,0,5002,223,0.17383182922568308,1.0,472
48,1,5002,224,0.17194008355941692,1.0,263
48,2,5002,224,0.1731998371616684,1.0,200
48,3,5002,224,0.142723927819749,1.0,312
48,4,5002,224,0.18322751546238197,1.0,161
49,0,5002,223,0.17860845259418667,1.0,575
49,1,5002,224,0.13309687003936577,1.0,81
