trial,fold,n_val,n_pos_val,auprc,C
34,4,5002,224,0.15151948515678812,0.00025056992275538
35,0,5002,223,0.12025167582917098,0.0013644142204494822
35,1,5002,224,0.10103874020944459,0.0013644142204494822
35,2,5002,224,0.13056734500881595,0.0013644142204494822
35,3,5002,224,0.10462367738734263,0.0013644142204494822
35,4,5002,224,0.15134184539375278,0.0013644142204494822
36,0,5002,223,0.12057156030957866,0.0033295739461611973
36,1,5002,224,0.10115008378648323,0.0033295739461611973
36,2,5002,224,0.1309577035546891,0.0033295739461611973
36,3,5002,224,0.104492869034811,0.0033295739461611973
36,4,5002,224,0.14987904980667596,0.0033295739461611973
37,0,5002,223,0.08604363957434769,94.64533014403676
37,1,5002,224,0.08025649541880076,94.64533014403676
37,2,5002,224,0.08710140743380196,94.64533014403676
38,0,5002,223,0.12045535962580856,0.0002499809314135842
38,1,5002,224,0.10126824452014957,0.0002499809314135842
38,2,5002,224,0.12965015950616576,0.0002499809314135842
38,3,5002,224,0.10509243174622482,0.0002499809314135842
38,4,5002,224,0.15150434057687878,0.0002499809314135842
39,0,5002,223,0.12049168058528678,0.0006071375942037189
39,1,5002,224,0.10118709690624592,0.0006071375942037189
39,2,5002,224,0.13011915537179958,0.0006071375942037189
39,3,5002,224,0.1047350654679148,0.0006071375942037189
39,4,5002,224,0.1513078907292786,0.0006071375942037189
40,0,5002,223,0.12048755491280867,0.0009355378014036202
40,1,5002,224,0.10111980669031148,0.0009355378014036202
40,2,5002,224,0.13023687434613485,0.0009355378014036202
40,3,5002,224,0.10480596638301706,0.0009355378014036202
40,4,5002,224,0.151245619097004,0.0009355378014036202
41,0,5002,223,0.12148171139157934,0.00020361065918944184
41,1,5002,224,0.10124849158221094,0.00020361065918944184
41,2,5002,224,0.12963409219778005,0.00020361065918944184
41,3,5002,224,0.10521172856374511,0.00020361065918944184
41,4,5002,224,0.15153442787724686,0.00020361065918944184
42,0,5002,223,0.12069767952362795,0.00021508570286140529
42,1,5002,224,0.1013068983075226,0.00021508570286140529
42,2,5002,224,0.12956039723572446,0.00021508570286140529
42,3,5002,224,0.10535860720242489,0.00021508570286140529
42,4,5002,224,0.15145264662990465,0.00021508570286140529
43,0,5002,223,0.12075214995902642,0.0001913669868703402
43,1,5002,224,0.10103075714359008,0.0001913669868703402
43,2,5002,224,0.12957121389426832,0.0001913669868703402
43,3,5002,224,0.10546938534682655,0.0001913669868703402
43,4,5002,224,0.15163903106469476,0.0001913669868703402
44,0,5002,223,0.12151321401134034,0.00019017088584268488
44,1,5002,224,0.1010556738047162,0.00019017088584268488
44,2,5002,224,0.12958713938191124,0.00019017088584268488
44,3,5002,224,0.10536054273532588,0.00019017088584268488
44,4,5002,224,0.15167342612694318,0.00019017088584268488
45,0,5002,223,0.1208305189030301,0.00017019731105204073
45,1,5002,224,0.10105550631571067,0.00017019731105204073
45,2,5002,224,0.1295401560541972,0.00017019731105204073
45,3,5002,224,0.10549712395266793,0.00017019731105204073
45,4,5002,224,0.15143264801789408,0.00017019731105204073
46,0,5002,223,0.12051317255831467,0.0005498576470285693
46,1,5002,224,0.10117463948007445,0.0005498576470285693
46,2,5002,224,0.13001325320582688,0.0005498576470285693
46,3,5002,224,0.10474321143798548,0.0005498576470285693
46,4,5002,224,0.15129691639768844,0.0005498576470285693
47,0,5002,223,0.12062656757855184,0.00661725400290044
47,1,5002,224,0.10104974489924028,0.00661725400290044
47,2,5002,224,0.13078713558109697,0.00661725400290044
47,3,5002,224,0.10442919879860614,0.00661725400290044
47,4,5002,224,0.14945229269815272,0.00661725400290044
48,0,5002,223,0.1200235061974398,0.0012508698087099342
48,1,5002,224,0.1010316649604373,0.0012508698087099342
48,2,5002,224,0.1302624037485718,0.0012508698087099342
48,3,5002,224,0.10462411360952781,0.0012508698087099342
48,4,5002,224,0.15121882850070065,0.0012508698087099342
49,0,5002,223,0.12065514548717668,0.00016266310645615946
49,1,5002,224,0.10105306195339286,0.00016266310645615946
49,2,5002,224,0.12955267707393703,0.00016266310645615946
49,3,5002,224,0.10549593945801677,0.00016266310645615946
49,4,5002,224,0.15144736295604908,0.00016266310645615946
